dt_txt,main.temp,main.humidity,wind.speed,visibility,clouds.all,weather,city
2025-06-12 00:00:00,22.42,88,3.5,10000,100,,"Suzhou,CN"
2025-06-12 03:00:00,25.93,77,4.56,10000,99,,"Suzhou,CN"
2025-06-12 06:00:00,30.05,63,4.77,10000,100,,"Suzhou,CN"
2025-06-12 09:00:00,30.34,61,5.27,10000,98,,"Suzhou,CN"
2025-06-12 12:00:00,26.82,76,4.41,10000,62,,"Suzhou,CN"
2025-06-12 15:00:00,25.34,84,3.58,10000,52,,"Suzhou,CN"
2025-06-07 18:00:00,13.94,88,3.48,10000,75,,"London,UK"
2025-06-07 21:00:00,13.52,90,3.63,10000,63,,"London,UK"
2025-06-08 00:00:00,11.81,91,3.93,10000,41,,"London,UK"
2025-06-08 03:00:00,8.8,90,4.39,10000,7,,"London,UK"
2025-06-08 06:00:00,10.46,75,4.4,10000,5,,"London,UK"
2025-06-08 09:00:00,14.02,53,5.41,10000,0,,"London,UK"
2025-06-08 12:00:00,17.43,42,5.06,10000,7,,"London,UK"
2025-06-08 15:00:00,16.68,51,3.8,10000,96,,"London,UK"
2025-06-08 18:00:00,16.39,64,5.48,10000,81,,"London,UK"
2025-06-08 21:00:00,13.31,71,4.03,10000,24,,"London,UK"
2025-06-09 00:00:00,11.49,78,3.35,10000,61,,"London,UK"
2025-06-09 03:00:00,10.03,86,2.3,10000,35,,"London,UK"
2025-06-09 06:00:00,11.65,77,2.44,10000,21,,"London,UK"
2025-06-09 09:00:00,16.73,53,3.15,10000,9,,"London,UK"
2025-06-09 12:00:00,18.4,49,3.32,10000,53,,"London,UK"
2025-06-09 15:00:00,17.66,57,3.78,10000,100,,"London,UK"
2025-06-09 18:00:00,17.28,61,3.6,10000,96,,"London,UK"
2025-06-09 21:00:00,15.27,74,3.37,10000,100,,"London,UK"
2025-06-10 00:00:00,14.03,80,2.93,10000,100,,"London,UK"
2025-06-10 03:00:00,12.87,83,3.64,10000,100,,"London,UK"
2025-06-10 06:00:00,13.48,77,4.19,10000,100,,"London,UK"
2025-06-10 09:00:00,17.71,69,4.68,10000,100,,"London,UK"
2025-06-10 12:00:00,19.67,66,4.68,10000,100,,"London,UK"
2025-06-10 15:00:00,20.63,65,4.68,10000,100,,"London,UK"
2025-06-10 18:00:00,19.44,76,2.92,10000,98,,"London,UK"
2025-06-10 21:00:00,17.23,86,0.7,10000,99,,"London,UK"
2025-06-11 00:00:00,15.38,94,1.54,10000,79,,"London,UK"
2025-06-11 03:00:00,14.14,96,0.58,10000,16,,"London,UK"
2025-06-11 06:00:00,15.83,89,0.77,10000,8,,"London,UK"
2025-06-11 09:00:00,20.88,62,1.72,10000,42,,"London,UK"
2025-06-11 12:00:00,24.82,49,3.43,10000,49,,"London,UK"
2025-06-11 15:00:00,25.43,45,4.13,10000,60,,"London,UK"
2025-06-11 18:00:00,21.39,62,4.3,10000,76,,"London,UK"
2025-06-11 21:00:00,17.51,78,3.78,10000,35,,"London,UK"
2025-06-12 00:00:00,16.95,80,3.22,10000,60,,"London,UK"
2025-06-12 03:00:00,17.47,85,3.51,10000,92,,"London,UK"
2025-06-12 06:00:00,17.96,87,3.3,10000,96,,"London,UK"
2025-06-12 09:00:00,21.47,75,3.08,10000,100,,"London,UK"
2025-06-12 12:00:00,25.59,56,3.39,10000,100,,"London,UK"
2025-06-12 15:00:00,24.1,61,3.65,10000,100,,"London,UK"
