country,city,name,system,operator,launched,discontinued
Albania,Tirana,Ecovolis,NA,NA,March 2011,Discontinued
Argentina,Buenos Aires,Ecobici,Serttel Brasil[8],Bike In Baires Consortium[9],2010,NA
Argentina,Mendoza,Metrobici,NA,NA,2014,NA
Argentina,Rosario,Mi Bici Tu Bici[11],NA,NA,2 December 2015,NA
Argentina,"San Lorenzo, Santa Fe",Biciudad,Biciudad,NA,27 November 2016,NA
Australia,Melbourne,Melbourne Bike Share,PBSC & 8D,Motivate,June 2010,30 November 2019[13]
Australia,Melbourne,oBike,4 Gen. oBike,NA,July 2017,July 2018
Australia,Brisbane,CityCycle,3 Gen. Cyclocity,JCDecaux,September 2010,July 2021[16]
Australia,Sydney,Reddy Go,Reddy Go,NA,July 2017,NA
Australia,Sydney,oBike,4 Gen. oBike,NA,July 2017,July 2018
Australia,Sydney,Ofo,4 Gen. Ofo,NA,October 2017,Discontinued
Austria,Burgenland,nextbike[17],3 Gen. nextbike,NA,2009,NA
Austria,Innsbruck,nextbike[17],NA,NA,NA,NA
Austria,Klagenfurt am Wörthersee,nextbike[17],NA,NA,NA,NA
Austria,Kufstein,nextbike[17],NA,NA,NA,NA
Austria,Lower Austria,nextbike[17],3 Gen. nextbike,NA,2009,NA
Austria,Salzburg,nextbike[17],3 Gen. nextbike,NA,2011,NA
Austria,Vienna,Citybike Wien[19],3 Gen. Cyclocity,"JCDecaux
Gewista",June 2003,NA
Austria,Vienna,nextbike[17],NA,NA,NA,NA
Austria,Vienna,Viennabike [citation needed],2 Gen.,Association and city council,April 2002,November 2002
Austria,Vorarlberg,nextbike[citation needed],3 Gen. nextbike,NA,2009,Discontinued
Bangladesh,"Dhaka, Chattogram, Sylhet",JoBike,JoBike,NA,2018,NA
Belgium,Aalst,Dott[20],NA,NA,NA,NA
Belgium,Antwerp,Velo Antwerp[21],3 Gen. Clear CC,Service2Cities (subsidiary of Clear Channel Belgium),9 June 2011,NA
Belgium,Antwerp,Donkey Republic[22],NA,NA,NA,NA
Belgium,Brussels,Bolt[24],NA,NA,NA,NA
Belgium,Brussels,Dott[20],NA,NA,NA,NA
Belgium,Brussels,Villo!,3 Gen. Cyclocity,JCDecaux,19 May 2009 (earlier system since 2006),NA
Belgium,Ghent,Donkey Republic[22],NA,NA,NA,NA
Belgium,Ghent,Dott[20],NA,NA,NA,NA
Belgium,Lille,TIER[25],NA,NA,NA,NA
Belgium,Namur,Bolt,NA,NA,NA,NA
Belgium,Namur,Libiavelo,3 Gen. Cyclocity,JCDecaux,21 April 2012,NA
Belgium,Various locations,dBlue-bike,Blue-bike,Blue-Mobility,1 May 2011,NA
Belgium,Various locations,Donkey Republic[22],NA,NA,NA,NA
Bosnia and Herzegovina,Banja Luka,BL bike[17],3 Gen. nextbike,nextbike,3 April 2018,NA
Bosnia and Herzegovina,Mostar,nextbike[17],3 Gen. nextbike,NA,26 March 2023,NA
Bosnia and Herzegovina,Sarajevo,nextbike[17],3 Gen. nextbike,NA,1 June 2016,NA
Bosnia and Herzegovina,Tuzla,nextbike,3 Gen. nextbike,NA,14 July 2017,1 May 2019
Bosnia and Herzegovina,Zenica,nextbike[17],3 Gen. nextbike,NA,11 October 2019,NA
Brazil,Belo Horizonte,Bikebh,Mobilicidade,NA,2014,NA
Brazil,Fortaleza,Bicicletar,Mobilicidade,NA,15 December 2014,NA
Brazil,João Pessoa,SAMBA,Mobilicidade,NA,NA,NA
Brazil,(Pedro de) Toledo,Toopedalando,Toopedalando,NA,2011,NA
Brazil,Rio de Janeiro,Bike Rio,tembici,NA,2011,NA
Brazil,Salvador,Bike Salvador,tembici,NA,2013,NA
Brazil,São Paulo,Bikesampa,tembici,NA,2012,NA
Brazil,Sorocaba,Integrabike,tembici,NA,2012,NA
Bulgaria,Burgas,VeloBurgas,Mobilicidade,NA,2012,NA
Canada,Hamilton,Hamilton Bike Share,Social Bicycles,NA,20 March 2015,NA
Canada,"Kitchener, Ontario",Community Access Bicycles,Community Access Bicycles,NA,"2011, relaunched 21 August 2013",NA
Canada,Montreal,BIXI Montréal,PBSC & 8D,NA,2009,NA
Canada,Quebec City,àVélo,PBSC,NA,9 July 2021,NA
Canada,Toronto,Bike Share Toronto,PBSC,Motivate,2011,NA
Canada,Vancouver,Mobi,3 Gen. CycleHop,NA,20 July 2016,NA
Canada,Victoria,U-Bicycle,NA,NA,September 2017,2020[42]
Chile,Santiago,Bikesantiago,3 Gen. B-Cycle,NA,2013,NA
China,Anqiu,Anqiu Public Bicycle,NA,NA,December 2013,NA
China,Baoji,Baoji Public Bicycle Service,NA,NA,September 2013,NA
China,Beijing,NA,NA,NA,2012,NA
China,Changzhou,Changzhou Public Bicycle,NA,NA,NA,NA
China,Chengdu (Jinniu District),–,Shanghai Forever Bicycle Co.,NA,June 2010,NA
China,Chengdu (Gaoxin District ),–,NA,NA,December 2010,NA
China,Foshan,NA,NA,NA,August 2010,NA
China,Fuzhou,Fuzhou Public Bicycle,NA,NA,June 2011,NA
China,Guangzhou,GZ-Public Bicycle,NA,NA,June 2010,NA
China,Haikou,NA,NA,NA,April 2013,NA
China,Haining,Haining Public Bicycle,NA,NA,October 2012,NA
China,Hangzhou,Hangzhou Public Bicycle,NA,NA,October 2008,NA
China,Heihe,NA,NA,NA,May 2012,NA
China,Heze,NA,NA,NA,April 2014,NA
China,Hohhot,NA,NA,NA,October 2013,NA
China,Huaian,Huaian Public Bicycle,NA,NA,October 2013,NA
China,Huaibei,Huaibei Public Bicycle,NA,NA,April 2014,NA
China,Huangyan,Huangyan Public Bicycle,NA,NA,January 2012,NA
China,Huizhou,Guangzhou Huimin,NA,NA,April 2012,NA
China,Huzhou,Huzhou Public Bicycle,NA,NA,December 2013,NA
China,Jiangyin,NA,NA,NA,November 2008,NA
China,Jiaxing,Jiaxing Public Bicycle,NA,NA,December 2011,NA
China,Jinhua,Jinhua Orange Public Bicycle Service,NA,NA,October 2013,NA
China,Jiujiang,NA,NA,NA,February 2014,NA
China,Jiyuan,NA,NA,NA,September 2013,NA
China,Kaixian,NA,NA,NA,January 2011,NA
China,Kunshan,NA,Forever Bicycle,NA,September 2010,NA
China,Lanxi,China,NA,NA,July 2014,NA
China,Lanzhou,Lanzhou Public Bicycle,NA,NA,June 2014,NA
China,Lhasa,NA,NA,NA,November 2013,NA
China,Linhai,NA,NA,NA,June 2011,NA
China,Lishui,NA,NA,NA,February 2013,NA
China,Luoyang,Luoyang Public Bicycle,NA,NA,25 May 2013,NA
China,Maanshan,Maanshan Public Bicycle,NA,NA,NA,NA
China,Nanning,NA,NA,NA,December 2013,NA
China,Nantong,Nantong Economic and Technological Development Area Public Bicycle,Forever Publicbike Intelligent Systems,NA,1 January 2013,NA
China,Ningbo,Ningbo Public Bicycle,NA,NA,September 2013,NA
China,Qingzhou,NA,NA,NA,2010,NA
China,Shanghai,NA,Forever Bicycle,NA,March 2009,NA
China,Shaoxing,Shaoxing Public Bicycle,NA,NA,15 June 2011,NA
China,Shenzhen / Shekou / Xiaomeisha,Shenzhen City Bicycle Public,Forever Bicycle,NA,September 2010,NA
China,Suzhou,NA,NA,NA,2010,NA
China,Taiyuan,NA,NA,NA,September 2012,NA
China,"Taizhou, Jiangsu",NA,NA,NA,2014,NA
China,"Taizhou, Jiangsu",China,NA,NA,2010,NA
China,Weifang,Weifang Public Bicycle,NA,NA,October 2013,NA
China,Wuhu,NA,NA,NA,2012,NA
China,Wuxi,Wuxibike,NA,NA,January 2010,NA
China,Xi'an,Xianbicycle,NA,NA,April 2011,NA
China,Xuzhou,NA,NA,NA,September 2012,NA
China,Yangzhou,NA,NA,NA,March 2014,NA
China,Yantai,NA,NA,NA,August 2010,NA
China,Yiwu,NA,NA,NA,October 2013,NA
China,Yixing,Yixing Public Bicycle,NA,NA,December 2012,NA
China,Yueyang,NA,NA,NA,April 2014,NA
China,Zhangjiagang,Forever Bicycle,Forever Bicycle,NA,June 2010,NA
China,Zhenjiang,Zhenjiang Public Bicycle,NA,NA,1 April 2013,NA
China,Zhijin,NA,NA,NA,June 2014,NA
China,Zhongshan,NA,NA,NA,2010,NA
China,Zhuhai,NA,NA,NA,December 2012,NA
China,Zhuzhou,NA,Foshan Tianzhou,NA,May 2011,NA
Colombia,Medellín,EnCicla,3 Gen (formally 0 Gen),The Metropolitan Area of Aburra Valley[60],2011,NA
Croatia,Hvar,nextbike[17],NA,NA,NA,NA
Croatia,Dalmacia,nextbike[17],NA,NA,NA,NA
Croatia,Osijek,nextbike[17],NA,NA,NA,NA
Croatia,Split,nextbike[17],NA,NA,NA,NA
Croatia,Various locations,nextbike[17],NA,NA,NA,NA
Croatia,Zadar,nextbike[17],NA,NA,NA,NA
Croatia,Zagreb,nextbike[17],3 Gen. nextbike,NA,May 2013,NA
Cyprus,Caps St Georges,nextbike[17],NA,NA,NA,NA
Cyprus,Famagusta,nextbike[17],NA,NA,NA,NA
Cyprus,Larnaca,nextbike[17],NA,NA,NA,NA
Cyprus,Limassol,nextbike[17][62],3 Gen. nextbike,NA,May 2012,NA
Cyprus,Limassol,Bike in Action,3 Gen. Smoove,NA,NA,NA
Cyprus,Paphos,nextbike[17],NA,NA,NA,NA
Cyprus,Pissouri,e-asyGo.com Cyprus,own pedelecs,NA,April 2019,NA
Cyprus,Nicosia,EasyBike,EasyBike[65],EasyBike,October 2011,NA
Cyprus,Nicosia,nextbike[17],NA,NA,NA,NA
Cyprus,Nicosia District,Bike in Action,3 Gen. Smoove,NA,NA,NA
The Czech Republic,Brno,nextbike[17],NA,NA,NA,NA
The Czech Republic,Brno,Rekola[66],4 Gen.,NA,2014[67],NA
The Czech Republic,Brno,Velonet,NA,Velonet,9 October 2016[68],2020[69]
The Czech Republic,České Budějovice,Rekola[66],4 Gen.,NA,2015[70],NA
The Czech Republic,Frýdek-Místek,nextbike[17],NA,NA,NA,NA
The Czech Republic,Frýdek-Místek,Rekola,4 Gen.,NA,2018[71],Discontinued[66]
The Czech Republic,Hradec Králové,nextbike[17],NA,NA,NA,NA
The Czech Republic,Hradec Králové,Rekola,4 Gen.,NA,2015[72],2016
The Czech Republic,Kladno,nextbike[17],NA,NA,NA,NA
The Czech Republic,Kladno,Rekola,4 Gen.,NA,2017[73],2017
The Czech Republic,Krnov,Rekola[66],NA,NA,NA,NA
The Czech Republic,Liberec,nextbike[17],NA,NA,NA,NA
The Czech Republic,Liberec,Rekola,4 Gen.,NA,2018[74],Discontinued[66]
The Czech Republic,Olomouc,nextbike[17],NA,NA,NA,NA
The Czech Republic,Olomouc,Rekola,4 Gen.,NA,2014[75],Discontinued[66]
The Czech Republic,Ostrava,nextbike[17],3 Gen. nextbike,Nextbike,2019,NA
The Czech Republic,Ostrava,Rekola,4 Gen.,NA,2018[76],Discontinued[66]
The Czech Republic,Pardubice,Rekola,4 Gen.,NA,2014,2016
The Czech Republic,Prague,Bolt[77],NA,NA,NA,NA
The Czech Republic,Prague,Rekola[66],4 Gen.[78],NA,2013[79],NA
The Czech Republic,Prague,Freebike[80],NA,HomePort,NA,NA
The Czech Republic,Prague 4,Velonet,NA,Velonet,9 October 2016[68],2020[69]
The Czech Republic,Prague 7,Ofo,4 Gen. Ofo,Ofo,2017,Discontinued
The Czech Republic,Prostějov,Rekola[66],NA,NA,NA,NA
The Czech Republic,Prostějov,nextbike,3 Gen. nextbike,Nextbike,2019,Discontinued[17]
The Czech Republic,Teplice,Rekola,4 Gen.,NA,2017[81],Discontinued[66]
The Czech Republic,Various locations,nextbike[17],NA,NA,NA,NA
The Czech Republic,Žďár,Rekola[66],NA,NA,NA,NA
Denmark,Aarhus,Aarhus City Bikes,2 Gen,Aarhus Municipality,March 2004,NA
Denmark,Aarhus,Donkey Republic[82],NA,NA,NA,NA
Denmark,Aarhus,Bycyklen,2 Gen,NA,May 2007,NA
Denmark,Copenhagen,Bolt[83],NA,NA,NA,NA
Denmark,Copenhagen,Bycyklen,Gobike,NA,16 August 2013[84],NA
Denmark,Copenhagen,Donkey Republic[82],NA,NA,NA,NA
Denmark,Copenhagen,Dott[20],NA,NA,NA,NA
Denmark,Copenhagen,TIER[25],NA,NA,NA,NA
Denmark,Copenhagen,Bycykler København,2 Gen,NA,1995,October 2012[85][86][87][a]
Denmark,Farsø,NA,2 Gen,NA,1991,NA
Denmark,Odense,Donkey Republic[82],NA,NA,NA,NA
Denmark,Various locations,Donkey Republic[82],NA,NA,NA,NA
Ecuador,Quito,BiciQ,BiciQ,NA,2012,NA
Estonia,Tallinn,Bolt[89],NA,NA,NA,NA
Estonia,Tartu,Bike Share,NA,Tartu linn,June 2019,NA
Finland,Espoo,Kaupunkipyörä,CityBike Finland,HSL,2017,NA
Finland,Hamina,Kaakau,Donkey Republic,Kaakau,2019,NA
Finland,Helsinki,Helsinki City Bikes,3 Gen. Smoove,Helsinki City Transport (HKL),May 2017[91][92],NA
Finland,Helsinki,Helsinki City Bikes,2 Gen.,Helsinki City Transport (HKL),2000,2010[93]
Finland,Hyvinkää,Kaakau,Donkey Republic,Kaakau,2020,2021[94]
Finland,Iisalmi,Kaakau,Donkey Republic,Kaakau,2019,NA
Finland,Imatra,Kaakau,Donkey Republic,Kaakau,2018,NA
Finland,Kotka,Kaakau,Donkey Republic,Kaakau,2018,NA
Finland,Kouvola,Kaakau,Donkey Republic,Kaakau,2018,NA
Finland,Kuopio,Vilkku-fillarit,Freebike,City of Kuopio,2019,NA
Finland,Lahti,Mankeli,Freebike,NA,2022,NA
Finland,Lappeenranta,Kaakau,Donkey Republic,Kaakau,2019,NA
Finland,Mikkeli,Kaakau,Donkey Republic,Kaakau,2021,2021[95]
Finland,Mäntsälä,Mäntsälä-pyörä,Donkey Republic,Kaakau,2019,NA
Finland,Oulu,Sykkeli,NA,Nextbike Polska,2019,2019[96]
Finland,Pori,Rolanbike Pori,Rolanbike,Rolanbike,2021,NA
Finland,Porvoo,Kaakau,Donkey Republic,Kaakau,2020,NA
Finland,Raseborg,Kaakau,Donkey Republic,Kaakau,2020,NA
Finland,Riihimäki,Kaakau,Donkey Republic,Kaakau,2020,NA
Finland,Rauma,Easybike,Easybike,Easybike,2019,NA
Finland,Seinäjoki,Easybike,Easybike,Easybike,2020,2021[97]
Finland,Tampere,Sale-Pyörä,CityBike Global,Nysse,2021,NA
Finland,Turku,Föllärit,Donkey Republic[82],Föli,2022,NA
Finland,Turku,Föli-Fillarit,Nextbike,Föli,2018,2020[98]
Finland,Vaasa,Rekola[99],4 Gen.,NA,2018,Discontinued
Finland,Vantaa,Kaupunkipyörä,CityBike,HSL,2019,NA
Finland,Varkaus,Juro,Juro,Juro Sharing Infra,2021,NA
Auvergne-Rhône-Alpes,Clermont-Ferrand,C.Vélo,3 Gen. Smoove,SMTC,June 2013,NA
Auvergne-Rhône-Alpes,Grenoble,Métrovélo,3 Gen. Smoove,NA,2006,NA
Auvergne-Rhône-Alpes,Grenoble,Dott[20],NA,NA,NA,NA
Auvergne-Rhône-Alpes,Lyon,Vélo'v,3 Gen. Cyclocity,NA,19 May 2005[101][102],NA
